I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ma≥gorzata Andersohn ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
*;*;*;;;0;0;0;0;0,00;14;1;2;8;57%;6;43%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Gabriela PolaÒska ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;3 Magdalena Stysiak ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
2;2;2;;;5;12;2;2;0,67;0;0;0;0;-;0;-;6;0;0;2;33%;1;0,33;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
3;3;3;;;19;9;2;3;0,67;0;0;0;0;-;0;-;31;1;0;14;45%;3;1,00;6 Jovana Brakocevic-Canzian ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
1;1;1;;;13;12;4;2;1,33;14;1;5;7;50%;5;36%;13;0;1;8;62%;1;0,33;7 Julia Kπkol ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
5;5;5;;;9;8;0;0;0,00;0;0;0;0;-;0;-;14;0;2;6;43%;3;1,00;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
6;6;6;;;4;16;2;0;0,67;0;0;0;0;-;0;-;3;1;1;1;33%;1;0,33;12 Femke Stoltenborg ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ewelina Tobiasz ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
*;;;;;1;3;1;0;1,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Oliwia Urban ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
4;4;4;;;4;13;0;2;0,00;30;1;11;13;43%;8;27%;18;3;1;4;22%;0;0,00;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
5;*;4;;;7;5;0;2;0,00;21;3;6;9;43%;8;38%;12;1;0;6;50%;1;0,33;1 Bianka Busa ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
2;1;1;;;6;7;0;1;0,00;8;1;2;3;38%;3;38%;20;0;5;5;25%;1;0,33;2 Martyna Grajber ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;5;;;0;4;0;1;0,00;0;0;0;0;-;0;-;2;1;0;0;0%;0;0,00;6 Agnieszka Bednarek ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Justyna £ukasik ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;*;;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;8 Marlena Kowalewska ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
6;5;;;;2;3;0;1;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;2;1,00;9 Iga Wasilewska ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;;;;2;0;0;0;0,00;0;0;0;0;-;0;-;6;2;0;2;33%;0;0,00;10 Sanja Gamma ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
4;3;3;;;7;8;1;2;0,33;0;0;0;0;-;0;-;25;5;4;5;20%;1;0,33;11 Martyna £ukasik ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
3;2;2;;;10;11;3;1;1,00;0;0;0;0;-;0;-;19;2;0;7;37%;0;0,00;12 Chiaka Ogbogu ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
1;6;6;;;3;8;0;2;0,00;0;0;0;0;-;0;-;3;0;1;2;67%;1;0,33;13 Sladjana MirkoviÊ ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;4;;;;5;5;1;0;0,50;12;0;1;7;58%;2;17%;12;1;2;3;25%;1;0,50;14 Natalia MÍdrzyk ;Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;*;;;0;0;0;0;0,00;29;2;9;14;48%;10;34%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Chemik Police;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;*;;;0;0;0;0;0,00;5;0;1;3;60%;3;60%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Gabriela PolaÒska ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;3 Magdalena Stysiak ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
6;5;6;;;5;5;0;0;0,00;0;0;0;0;-;0;-;11;1;1;2;18%;3;1,00;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
1;6;1;;;20;9;2;0;0,67;0;0;0;0;-;0;-;28;2;3;12;43%;6;2,00;6 Jovana Brakocevic-Canzian ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
5;4;5;;;9;14;1;0;0,33;12;2;4;5;42%;3;25%;11;0;1;6;55%;2;0,67;7 Julia Kπkol ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
3;2;3;;;6;11;0;0;0,00;0;0;0;0;-;0;-;6;0;0;5;83%;1;0,33;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
4;3;4;;;1;17;1;1;0,33;0;0;0;0;-;0;-;3;0;0;0;0%;0;0,00;12 Femke Stoltenborg ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ewelina Tobiasz ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;*;;;0;3;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Oliwia Urban ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
2;1;2;;;9;14;2;2;0,67;25;3;6;8;32%;4;16%;17;2;2;7;41%;0;0,00;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;06.04.2019Chemik Police-0:3-Grot Budowlani £Ûdü;06.04.2019, 14:45;2019/2020;play-off;C-1
*;*;*;*;;0;0;0;0;0,00;13;1;1;8;62%;7;54%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;*;*;;;1;0;0;0;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;1;0,33;2 Gabriela PolaÒska ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;;;;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;3 Magdalena Stysiak ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
6;2;6;1;;11;31;4;2;1,00;1;0;1;0;0%;0;0%;11;1;1;5;45%;2;0,50;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
1;3;1;2;;23;7;0;3;0,00;0;0;0;0;-;0;-;48;2;2;21;44%;2;0,50;6 Jovana Brakocevic-Canzian ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
5;1;5;6;;11;14;0;2;0,00;11;2;3;2;18%;0;0%;21;0;2;9;43%;2;0,50;7 Julia Kπkol ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
3;5;3;4;;19;7;0;1;0,00;0;0;0;0;-;0;-;19;0;0;13;68%;6;1,50;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
4;6;4;5;;4;14;2;1;0,50;0;0;0;0;-;0;-;3;0;0;1;33%;1;0,25;12 Femke Stoltenborg ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ewelina Tobiasz ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;*;*;;;0;6;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Oliwia Urban ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
2;4;2;3;;5;17;1;1;0,25;45;1;12;17;38%;11;24%;12;0;2;4;33%;0;0,00;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;*;6;4;;10;6;0;0;0,00;29;2;7;15;52%;11;38%;22;3;2;10;45%;0;0,00;1 Bianka Busa ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
4;3;3;1;;5;15;1;0;0,25;7;1;1;1;14%;1;14%;13;1;0;4;31%;0;0,00;2 Martyna Grajber ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;*;*;*;;1;6;0;2;0,00;0;0;0;0;-;0;-;1;0;0;1;100%;0;0,00;6 Agnieszka Bednarek ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Justyna £ukasik ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
;*;;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;8 Marlena Kowalewska ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
2;1;1;5;;7;10;1;1;0,25;0;0;0;0;-;0;-;7;1;0;3;43%;3;0,75;9 Iga Wasilewska ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
;*;;;;0;1;0;1;0,00;0;0;0;0;-;0;-;3;0;1;0;0%;0;0,00;10 Sanja Gamma ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
6;5;5;*;;16;10;1;3;0,25;0;0;0;0;-;0;-;38;5;4;15;39%;0;0,00;11 Martyna £ukasik ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
5;4;4;2;;13;13;0;1;0,00;0;0;0;0;-;0;-;23;1;4;11;48%;2;0,50;12 Chiaka Ogbogu ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
3;2;2;6;;4;12;1;3;0,25;0;0;0;0;-;0;-;5;0;1;1;20%;2;0,50;13 Sladjana MirkoviÊ ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
1;6;*;3;;9;8;0;0;0,00;15;1;6;5;33%;3;20%;24;1;2;9;38%;0;0,00;14 Natalia MÍdrzyk ;Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;*;*;*;;0;0;0;0;0,00;35;3;12;13;37%;5;14%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Chemik Police;13.04.2019Grot Budowlani £Ûdü-3:1-Chemik Police;13.04.2019, 17:30;2019/2020;play-off;C-2
*;;;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;1 Helene Rousseaux ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
1;1;5;6;6;3;8;0;1;0,00;0;0;0;0;-;0;-;6;1;0;2;33%;1;0,20;2 Maja Tokarska ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
4;4;2;3;3;10;11;0;4;0,00;0;0;0;0;-;0;-;6;0;0;4;67%;6;1,20;3 Kamila Witkowska ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Magdalena Hawry≥a ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;*;;;;1;1;0;0;0,00;0;0;0;0;-;0;-;3;0;1;1;33%;0;0,00;6 Katarzyna ØabiÒska ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
6;6;4;5;5;13;13;0;0;0,00;12;2;1;4;33%;4;33%;34;2;4;13;38%;0;0,00;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
2;2;6;1;1;2;15;1;2;0,20;0;0;0;0;-;0;-;1;0;0;0;0%;1;0,20;8 Petya Barakowa ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
*;*;*;*;*;0;0;0;0;0,00;28;1;6;14;50%;9;32%;0;0;0;0;0%;0;0,00;9 Agata Sawicka (L);Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
3;3;1;2;2;18;21;2;1;0,40;41;1;11;23;56%;10;24%;39;4;1;16;41%;0;0,00;12 Michaela Mlejnkova ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;*;*;*;*;0;0;0;0;0,00;4;0;1;2;50%;2;50%;0;0;0;0;0%;0;0,00;15 Dorota MedyÒska (L);Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
*;*;;*;*;1;3;0;1;0,00;0;0;0;0;-;0;-;1;0;0;1;100%;0;0,00;16 Agnieszka Rabka ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Kinga Hatala ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
5;5;3;4;4;26;17;1;0;0,20;0;0;0;0;-;0;-;57;3;11;23;40%;2;0,40;18 Katarzyna ZaroúliÒska-KrÛl ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;*;;;;0;0;0;0;0,00;2;0;1;0;0%;0;0%;1;1;0;0;0%;0;0,00;19 Eva Yaneva ;Developres SkyRes RzeszÛw;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;*;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Lucie Muhlsteinova ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
4;4;4;2;4;10;14;0;1;0,00;32;2;9;15;47%;5;16%;33;0;3;10;30%;0;0,00;5 Regiane Bidias ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
1;1;1;5;1;13;10;1;1;0,20;20;0;7;6;30%;5;25%;17;2;3;8;47%;4;0,80;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;*;;;1;1;0;0;0,00;1;0;1;0;0%;0;0%;2;0;0;1;50%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;*;*;;0;0;0;0;0,00;4;1;2;0;0%;0;0%;3;0;1;0;0%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
6;6;6;4;6;20;14;2;2;0,40;0;0;0;0;-;0;-;39;1;2;17;44%;1;0,20;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
*;*;*;*;*;0;0;0;0;0,00;23;1;5;11;48%;3;13%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;*;*;;2;3;0;0;0,00;0;0;0;0;-;0;-;11;1;0;2;18%;0;0,00;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
5;5;5;3;5;9;21;1;0;0,20;0;0;0;0;-;0;-;15;2;1;5;33%;3;0,60;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
2;2;2;6;2;9;20;0;2;0,00;0;0;0;0;-;0;-;8;0;0;4;50%;5;1,00;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
3;3;3;1;3;6;11;0;1;0,00;0;0;0;0;-;0;-;4;0;0;2;50%;4;0,80;17 Marta WÛjcik ;£KS Commercecon £Ûdü;07.04.2019Developres SkyRes RzeszÛw-2:3-£KS Commercecon £Ûdü;07.04.2019, 14:45;2019/2020;play-off;D-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
*;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Lucie Muhlsteinova ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
1;2;1;;;7;17;1;1;0,33;18;0;5;10;56%;7;39%;12;1;0;5;42%;1;0,33;5 Regiane Bidias ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
4;5;4;;;9;9;0;0;0,00;14;2;3;7;50%;3;21%;21;1;3;8;38%;1;0,33;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
3;4;3;;;13;13;1;3;0,33;0;0;0;0;-;0;-;26;4;3;9;35%;3;1,00;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
*;*;*;;;0;0;0;0;0,00;20;4;5;9;45%;6;30%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;14.04.2019£KS Commercecon £Ûdü-3:0-Developres SkyRes RzeszÛw;14.04.2019, 14:45;2019/2020;play-off;D-2
